UID,Fragment,IndDis_Score,H_cnt,E_cnt,C_cnt
>sp|A0A1B0GV03|GG6L7_HUMAN,266-495,436,226,0,4
>sp|Q6UWP8|SBSN_HUMAN,378-565,250,167,0,21
>sp|Q9NQR7|CC177_HUMAN,459-538,160,80,0,0
>sp|Q14683|SMC1A_HUMAN,265-371,148,96,0,11
>sp|Q8N9W4|GG6L2_HUMAN,422-489,136,68,0,0
>sp|Q9ULE4|F184B_HUMAN,641-701,122,61,0,0
>sp|O94927|HAUS5_HUMAN,98-156,118,59,0,0
>sp|Q9Y4D1|DAAM1_HUMAN,450-507,116,58,0,0
>sp|Q8NB25|F184A_HUMAN,732-788,114,57,0,0
>sp|Q9NTJ3|SMC4_HUMAN,436-490,110,55,0,0
>sp|P0DX01|GG6LY_HUMAN,707-756,100,50,0,0
>sp|P0DX00|GG6LX_HUMAN,713-762,100,50,0,0
>sp|P30622|CLIP1_HUMAN,985-1033,98,49,0,0
>sp|Q9UBC2|EP15R_HUMAN,418-466,98,49,0,0
>sp|Q6UWE0|LRSM1_HUMAN,281-328,96,48,0,0
>sp|Q14244|MAP7_HUMAN,518-563,92,46,0,0
>sp|P35240|MERL_HUMAN,318-363,92,46,0,0
>sp|Q6NSJ2|PHLB3_HUMAN,162-218,90,53,0,4
>sp|Q8WZ74|CTTB2_HUMAN,206-250,90,45,0,0
>sp|Q96T51|RUFY1_HUMAN,480-524,90,45,0,0
>sp|A8MZA4|GG6L6_HUMAN,605-648,88,44,0,0
>sp|P0DX01|GG6LY_HUMAN,652-694,86,43,0,0
>sp|P0DX00|GG6LX_HUMAN,658-700,86,43,0,0
>sp|P42566|EPS15_HUMAN,453-498,86,45,0,1
>sp|P26038|MOES_HUMAN,301-343,86,43,0,0
>sp|Q8N137|CNTRB_HUMAN,265-307,86,43,0,0
>sp|Q8WW24|TEKT4_HUMAN,60-101,84,42,0,0
>sp|Q5T9S5|CCD18_HUMAN,1147-1194,84,46,0,2
>sp|O75334|LIPA2_HUMAN,428-469,84,42,0,0
>sp|P23246|SFPQ_HUMAN,499-540,84,42,0,0
>sp|H0YM25|GG6LV_HUMAN,688-728,82,41,0,0
>sp|P0DX00|GG6LX_HUMAN,587-630,82,43,0,1
>sp|Q9H4E7|DEFI6_HUMAN,494-534,82,41,0,0
>sp|Q96T17|MA7D2_HUMAN,467-513,82,45,0,2
>sp|Q92878|RAD50_HUMAN,516-555,80,40,0,0
>sp|Q92805|GOGA1_HUMAN,198-237,80,40,0,0
>sp|P15311|EZRI_HUMAN,301-340,80,40,0,0
>sp|Q8IVE0|CROL2_HUMAN,22-61,80,40,0,0
>sp|Q5TZA2|CROCC_HUMAN,559-598,80,40,0,0
>tr|A0AAG2TUN3|A0AAG2TUN3_HUMAN,346-385,80,40,0,0
>sp|A8MZA4|GG6L6_HUMAN,662-701,80,40,0,0
>sp|Q6UWP8|SBSN_HUMAN,79-123,72,42,0,3
>sp|Q5T0N5|FBP1L_HUMAN,395-454,66,51,0,9
>sp|Q9UQN3|CHM2B_HUMAN,93-166,64,60,0,14
>sp|O75116|ROCK2_HUMAN,816-861,62,41,0,5
>sp|O95670|VATG2_HUMAN,41-89,62,43,0,6
>sp|O00461|GOLI4_HUMAN,105-162,62,49,0,9
>sp|P56524|HDAC4_HUMAN,101-164,56,52,0,12
>sp|Q9H169|STMN4_HUMAN,148-189,54,37,0,5
>sp|Q0VF49|K2012_HUMAN,1089-1131,50,37,0,6
>sp|Q96EU6|RRP36_HUMAN,167-215,50,41,0,8
>sp|P16949|STMN1_HUMAN,93-149,48,46,0,11
>sp|H0YM25|GG6LV_HUMAN,791-831,46,35,0,6
>sp|P11277|SPTB1_HUMAN,1087-1126,44,34,0,6
>sp|Q8IUD2|RB6I2_HUMAN,790-835,44,38,0,8
>sp|Q8N6M0|OTU6B_HUMAN,15-56,42,35,0,7
>sp|Q9UIF8|BAZ2B_HUMAN,992-1042,42,41,0,10
>sp|Q6NZI2|CAVN1_HUMAN,243-290,42,39,0,9
