UID,SHS_Score,H_pct,E_pct,Length
Q967Z0,1.9855,99.28,0.0,692
P41114,1.9752,98.76,0.0,242
A7UMC0,1.9718,98.59,0.0,284
O02389,1.9648,98.24,0.0,284
Q9GZ69,1.9648,98.24,0.0,284
P91958,1.9648,98.24,0.0,284
O01673,1.9648,98.24,0.0,284
Q9GZ70,1.9648,98.24,0.0,284
Q25457,1.9648,98.24,0.0,284
Q1HPU0,1.9648,98.24,0.0,284
P09491,1.9648,98.24,0.0,284
O97192,1.9577,97.89,0.0,284
Q9NAS5,1.9577,97.89,0.0,284
Q25145,1.9577,97.89,0.0,284
Q2V0V2,1.9577,97.89,0.0,284
Q8T380,1.9577,97.89,0.0,284
P43689,1.9577,97.89,0.0,284
Q22866,1.9577,97.89,0.0,284
P15846,1.9577,97.89,0.0,284
Q9BMQ6,1.9561,97.81,0.0,638
Q23758,1.9507,97.54,0.0,284
Q9GZ71,1.9507,97.54,0.0,284
Q25632,1.9507,97.54,0.0,284
P42636,1.9507,97.54,0.0,284
Q95PU1,1.9437,97.18,0.0,284
Q02088,1.9379,96.89,0.0,161
P09413,1.9378,96.89,0.0,193
A4URH3,1.9366,96.83,0.0,284
Q26503,1.9366,96.83,0.0,284
P0DSM7,1.9366,96.83,0.0,284
P42638,1.9366,96.83,0.0,284
Q95VA8,1.9366,96.83,0.0,284
P04460,1.9355,96.77,0.0,465
V5NBV4,1.9296,96.48,0.0,284
O44119,1.9296,96.48,0.0,284
Q9NG56,1.9296,96.48,0.0,284
Q8WR63,1.9296,96.48,0.0,284
M1H607,1.9296,96.48,0.0,284
Q26519,1.9296,96.48,0.0,284
Q3Y8M6,1.9296,96.48,0.0,284
Q3BJY7,1.9296,96.48,0.0,284
P86704,1.9296,96.48,0.0,284
P42637,1.9296,96.48,0.0,284
Q9H6N6,1.9271,96.35,0.0,1097
Q9N2R3,1.9242,96.21,0.0,264
Q1LHK6,1.9231,96.15,0.0,156
Q46VX6,1.9231,96.15,0.0,156
B2UGV3,1.9231,96.15,0.0,156
Q23939,1.9225,96.13,0.0,284
P0DSM6,1.9225,96.13,0.0,284
C5J049,1.9225,96.13,0.0,284
Q8T6L5,1.9225,96.13,0.0,284
Q9NFZ4,1.9225,96.13,0.0,284
Q5E1N3,1.9221,96.1,0.0,154
Q7M3Y8,1.9178,95.89,0.0,146
Q8IT89,1.9155,95.77,0.0,284
A2V735,1.9155,95.77,0.0,284
O97162,1.9155,95.77,0.0,284
O18416,1.9155,95.77,0.0,284
P02562,1.9133,95.66,0.0,1084
Q82XQ2,1.9108,95.54,0.0,157
Q39KY0,1.9103,95.51,0.0,156
Q7WEM5,1.9103,95.51,0.0,156
A4JA31,1.9103,95.51,0.0,156
A9HY36,1.9103,95.51,0.0,156
Q0K5M3,1.9103,95.51,0.0,156
B3R7L9,1.9103,95.51,0.0,156
A9BPU3,1.9103,95.51,0.0,156
B1YQL0,1.9103,95.51,0.0,156
A3MQJ5,1.9103,95.51,0.0,156
A9AJG0,1.9103,95.51,0.0,156
A1W2T3,1.9103,95.51,0.0,156
B2T7K4,1.9103,95.51,0.0,156
Q13SP8,1.9103,95.51,0.0,156
A1VIU8,1.9103,95.51,0.0,156
A4SUT0,1.9103,95.51,0.0,156
Q8XU72,1.9103,95.51,0.0,156
Q12GQ4,1.9103,95.51,0.0,156
B1XSD0,1.9103,95.51,0.0,156
Q3J6M7,1.9103,95.51,0.0,156
B2JJK3,1.9103,95.51,0.0,156
Q7VU48,1.9103,95.51,0.0,156
A6T474,1.9103,95.51,0.0,156
A0K2X9,1.9103,95.51,0.0,156
A1TJ37,1.9103,95.51,0.0,156
A6TG40,1.9091,95.45,0.0,154
P29616,1.9074,95.37,0.0,1102
Q95WY0,1.9056,95.28,0.0,233
P39922,1.9035,95.18,0.0,539
P02561,1.9032,95.16,0.0,248
Q986D1,1.9018,95.09,0.0,163
P17536,1.8995,94.97,0.0,199
A1URU5,1.8994,94.97,0.0,159
A5VNW5,1.8994,94.97,0.0,159
B2S9N1,1.8994,94.97,0.0,159
A9M8G1,1.8994,94.97,0.0,159
B0CK73,1.8994,94.97,0.0,159
Q11KH6,1.8994,94.97,0.0,159
O16127,1.8993,94.96,0.0,278
Q8DLP6,1.8986,94.93,0.0,138
A1K1R8,1.8981,94.9,0.0,157
Q5P4E6,1.8981,94.9,0.0,157
Q0AJB4,1.8981,94.9,0.0,157
A4YCI2,1.8974,94.87,0.0,156
Q223D2,1.8974,94.87,0.0,156
A6WUJ4,1.8974,94.87,0.0,156
Q8E8B6,1.8974,94.87,0.0,156
Q2P7Q8,1.8974,94.87,0.0,156
Q9PE81,1.8974,94.87,0.0,156
A1JTD1,1.8974,94.87,0.0,156
Q15MU0,1.8974,94.87,0.0,156
B0U5A2,1.8974,94.87,0.0,156
A1T0Z3,1.8974,94.87,0.0,156
A5WBV7,1.8974,94.87,0.0,156
Q3IK46,1.8974,94.87,0.0,156
Q4UQF0,1.8974,94.87,0.0,156
Q8PGG3,1.8974,94.87,0.0,156
A1WF54,1.8974,94.87,0.0,156
Q3SF62,1.8974,94.87,0.0,156
B6EHU1,1.8974,94.87,0.0,156
Q6FFK4,1.8974,94.87,0.0,156
A9M119,1.8974,94.87,0.0,156
B7H298,1.8974,94.87,0.0,156
B0VNK0,1.8974,94.87,0.0,156
A0KQY2,1.8974,94.87,0.0,156
Q1GXM6,1.8974,94.87,0.0,156
A2SC66,1.8974,94.87,0.0,156
Q5F4Z4,1.8974,94.87,0.0,156
B6J959,1.8974,94.87,0.0,156
B3PIT1,1.8974,94.87,0.0,156
A4GAH3,1.8974,94.87,0.0,156
Q5QZI2,1.8974,94.87,0.0,156
