UID,Fragment,IndDis_Score,H_cnt,E_cnt,C_cnt
>sp|P0DX00|GG6LX_HUMAN,584-832,384,230,0,19
>sp|H0YM25|GG6LV_HUMAN,612-854,372,224,0,19
>sp|O75334|LIPA2_HUMAN,293-473,350,179,0,2
>sp|P30622|CLIP1_HUMAN,972-1135,328,164,0,0
>sp|Q14683|SMC1A_HUMAN,240-414,284,164,0,11
>sp|Q5TZA2|CROCC_HUMAN,526-660,270,135,0,0
>sp|P0DX02|GG6LZ_HUMAN,504-649,256,140,0,6
>sp|Q8N7Z2|GG6L1_HUMAN,530-668,248,134,0,5
>sp|Q9UBC2|EP15R_HUMAN,400-519,240,120,0,0
>sp|P0DX01|GG6LY_HUMAN,578-826,228,204,0,45
>sp|Q9NQR7|CC177_HUMAN,448-554,214,107,0,0
>sp|Q9ULE4|F184B_HUMAN,638-733,192,96,0,0
>sp|Q08379|GOGA2_HUMAN,358-502,188,128,0,17
>sp|Q13439|GOGA4_HUMAN,359-450,184,92,0,0
>sp|Q9UL54|TAOK2_HUMAN,470-558,166,87,0,2
>sp|Q9NQR7|CC177_HUMAN,556-636,162,81,0,0
>sp|B1AJZ9|FHAD1_HUMAN,758-841,162,83,0,1
>tr|A0AAG2TUN3|A0AAG2TUN3_HUMAN,280-416,148,116,0,21
>sp|P35580|MYH10_HUMAN,1123-1211,148,84,0,5
>sp|Q14203|DCTN1_HUMAN,256-328,146,73,0,0
>sp|Q9UPV0|CE164_HUMAN,681-755,144,74,0,1
>sp|Q13136|LIPA1_HUMAN,261-331,142,71,0,0
>sp|Q14683|SMC1A_HUMAN,846-931,142,81,0,5
>sp|P0C7N4|T191B_HUMAN,52-148,140,88,0,9
>sp|Q8NB25|F184A_HUMAN,729-797,138,69,0,0
>sp|P35241|RADI_HUMAN,358-426,138,69,0,0
>sp|Q9UQE7|SMC3_HUMAN,238-305,136,68,0,0
>sp|Q5TZA2|CROCC_HUMAN,1064-1142,134,75,0,4
>sp|O75335|LIPA4_HUMAN,369-435,134,67,0,0
>sp|O95670|VATG2_HUMAN,5-93,130,81,0,8
>sp|Q6ZU80|CE128_HUMAN,179-241,126,63,0,0
>sp|O75145|LIPA3_HUMAN,376-438,126,63,0,0
>sp|Q13136|LIPA1_HUMAN,393-455,126,63,0,0
>sp|P07951|TPM2_HUMAN,10-84,126,71,0,4
>sp|A2RUB6|CCD66_HUMAN,442-522,126,75,0,6
>sp|Q9UQL6|HDAC5_HUMAN,105-167,126,63,0,0
>sp|A8MZA4|GG6L6_HUMAN,593-654,124,62,0,0
>sp|Q7Z6P3|RAB44_HUMAN,262-321,120,60,0,0
>sp|Q96T17|MA7D2_HUMAN,79-138,120,60,0,0
>sp|Q2NL98|VMAC_HUMAN,37-96,120,60,0,0
